City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Escarcega,MX,2022-04-12 11:40:39,18.6089,-90.7454,75.72,78,31,6.71
277,Yangliuqing,CN,2022-04-12 11:40:40,39.1375,116.9997,55.35,30,100,11.1
278,Sioux Lookout,CA,2022-04-12 11:40:40,50.1001,-91.917,24.87,74,40,3.44
279,Laguna,US,2022-04-12 11:40:40,38.421,-121.4238,41.4,76,0,3.44
280,Faanui,PF,2022-04-12 11:41:41,-16.4833,-151.75,81.64,74,10,13.56
281,Grand Gaube,MU,2022-04-12 11:41:41,-20.0064,57.6608,83.37,75,2,10.0
282,Antalaha,MG,2022-04-12 11:41:42,-14.9003,50.2788,83.93,65,5,15.08
283,Sechura,PE,2022-04-12 11:41:42,-5.5569,-80.8222,70.14,81,96,12.15
284,Winkler,CA,2022-04-12 11:41:42,49.1817,-97.941,26.78,80,40,3.44
285,Borazjan,IR,2022-04-12 11:41:43,29.2666,51.2159,101.43,6,13,9.78
286,Marshall,US,2022-04-12 11:40:27,34.3834,-86.3333,64.38,94,100,9.22
287,Victoria,HK,2022-04-12 11:40:31,22.2855,114.1577,82.18,81,4,11.01
288,Semey,KZ,2022-04-12 11:38:48,50.4111,80.2275,64.62,25,0,15.66
289,Kieta,PG,2022-04-12 11:41:44,-6.2167,155.6333,79.5,81,96,0.72
290,Richards Bay,ZA,2022-04-12 11:41:44,-28.783,32.0377,79.81,58,32,6.8
291,Seoul,KR,2022-04-12 11:39:52,37.5683,126.9778,65.59,82,75,5.75
